-0.6241726198050337 -0.6241726198050337 -0.6241726198050337 | 1 0
-4.455527114251028 -4.455527114251028 -4.455527114251028 | 0 1
1.2366096809664517 1.2366096809664517 1.2366096809664517 | 0 1
-3.850531899271713 -3.850531899271713 -3.850531899271713 | 0 1
-5.872724831652056 -5.872724831652056 -5.872724831652056 | 0 1
3.573032381156544 3.573032381156544 3.573032381156544 | 1 0
1.0690397925049764 1.0690397925049764 1.0690397925049764 | 0 1
-2.4982436319501455 -2.4982436319501455 -2.4982436319501455 | 1 0
-3.5882969002125855 -3.5882969002125855 -3.5882969002125855 | 0 1
4.930384187253253 4.930384187253253 4.930384187253253 | 1 0
3.1939656001992933 3.1939656001992933 3.1939656001992933 | 1 0
5.655274881633892 5.655274881633892 5.655274881633892 | 1 0
6.179667353919317 6.179667353919317 6.179667353919317 | 1 0
2.068687402484562 2.068687402484562 2.068687402484562 | 0 1
-2.6482696036141404 -2.6482696036141404 -2.6482696036141404 | 1 0
0.6345268273324809 0.6345268273324809 0.6345268273324809 | 0 1
-1.279302607350429 -1.279302607350429 -1.279302607350429 | 1 0
-4.369558126417605 -4.369558126417605 -4.369558126417605 | 0 1
2.720926142505453 2.720926142505453 2.720926142505453 | 0 1
1.4365326016700433 1.4365326016700433 1.4365326016700433 | 0 1
2.2111560326812345 2.2111560326812345 2.2111560326812345 | 0 1
3.9890419058407307 3.9890419058407307 3.9890419058407307 | 1 0
-5.368941668018351 -5.368941668018351 -5.368941668018351 | 0 1
-1.3047144495017937 -1.3047144495017937 -1.3047144495017937 | 1 0
-1.4734905752641243 -1.4734905752641243 -1.4734905752641243 | 1 0
4.897225096679918 4.897225096679918 4.897225096679918 | 1 0
0.036075247970963176 0.036075247970963176 0.036075247970963176 | 0 1
-2.869984402837544 -2.869984402837544 -2.869984402837544 | 1 0
-4.78663296843321 -4.78663296843321 -4.78663296843321 | 0 1
2.9268102543190206 2.9268102543190206 2.9268102543190206 | 0 1
-2.55734760171159 -2.55734760171159 -2.55734760171159 | 1 0
-1.0231353241792833 -1.0231353241792833 -1.0231353241792833 | 1 0
1.877905711527129 1.877905711527129 1.877905711527129 | 0 1
-2.5434883383205316 -2.5434883383205316 -2.5434883383205316 | 1 0
3.1163121688792668 3.1163121688792668 3.1163121688792668 | 0 1
-1.5899211539535827 -1.5899211539535827 -1.5899211539535827 | 1 0
-3.3578124428995473 -3.3578124428995473 -3.3578124428995473 | 0 1
5.218053529332048 5.218053529332048 5.218053529332048 | 1 0
5.547003206467457 5.547003206467457 5.547003206467457 | 1 0
3.921574901996669 3.921574901996669 3.921574901996669 | 1 0
-5.997343432395619 -5.997343432395619 -5.997343432395619 | 0 1
1.477885201965937 1.477885201965937 1.477885201965937 | 0 1
-0.31268247843998864 -0.31268247843998864 -0.31268247843998864 | 1 0
-5.949994848588757 -5.949994848588757 -5.949994848588757 | 0 1
3.268196746007666 3.268196746007666 3.268196746007666 | 1 0
3.5852248285557593 3.5852248285557593 3.5852248285557593 | 1 0
5.0505860738790584 5.0505860738790584 5.0505860738790584 | 1 0
3.5532934306296475 3.5532934306296475 3.5532934306296475 | 1 0
-5.017859262914746 -5.017859262914746 -5.017859262914746 | 0 1
3.195746623046718 3.195746623046718 3.195746623046718 | 1 0
-0.46458944797920054 -0.46458944797920054 -0.46458944797920054 | 1 0
2.4885499180048 2.4885499180048 2.4885499180048 | 0 1
4.787522814818049 4.787522814818049 4.787522814818049 | 1 0
-3.9286125588270093 -3.9286125588270093 -3.9286125588270093 | 0 1
5.934496362143612 5.934496362143612 5.934496362143612 | 1 0
-6.263333658163583 -6.263333658163583 -6.263333658163583 | 0 1
5.443781974646917 5.443781974646917 5.443781974646917 | 1 0
-1.030813760356323 -1.030813760356323 -1.030813760356323 | 1 0
0.08053260399635764 0.08053260399635764 0.08053260399635764 | 0 1
-5.1652598708451904 -5.1652598708451904 -5.1652598708451904 | 0 1
5.85279954527428 5.85279954527428 5.85279954527428 | 1 0
-3.6457777233856983 -3.6457777233856983 -3.6457777233856983 | 0 1
0.8597397877888344 0.8597397877888344 0.8597397877888344 | 0 1
-3.4197677471817416 -3.4197677471817416 -3.4197677471817416 | 0 1
3.5565389259764135 3.5565389259764135 3.5565389259764135 | 1 0
-2.111184208402439 -2.111184208402439 -2.111184208402439 | 1 0
-0.04699830629149204 -0.04699830629149204 -0.04699830629149204 | 1 0
4.157293524591479 4.157293524591479 4.157293524591479 | 1 0
-2.6314607113624797 -2.6314607113624797 -2.6314607113624797 | 1 0
-6.091306472309771 -6.091306472309771 -6.091306472309771 | 0 1
-3.0519989130899834 -3.0519989130899834 -3.0519989130899834 | 1 0
0.9144223039908006 0.9144223039908006 0.9144223039908006 | 0 1
5.694162310095807 5.694162310095807 5.694162310095807 | 1 0
-0.19838615413151306 -0.19838615413151306 -0.19838615413151306 | 1 0
5.265830952606457 5.265830952606457 5.265830952606457 | 1 0
1.8153540557578172 1.8153540557578172 1.8153540557578172 | 0 1
-4.898334630434418 -4.898334630434418 -4.898334630434418 | 0 1
-4.376423328054107 -4.376423328054107 -4.376423328054107 | 0 1
